T1,T2,T3,T4,T5,T6,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,OF,Starling Marte (22282299),Starling Marte,22282299,T1,NYM@ARI 04/23/2022 08:10PM ET,NYM,10.58
,,,,,,,SS,Francisco Lindor (22282302),Francisco Lindor,22282302,T1,NYM@ARI 04/23/2022 08:10PM ET,NYM,11.29
,,,,,,,3B,Manny Machado (22282301),Manny Machado,22282301,T1,LAD@SD 04/23/2022 08:40PM ET,SD,10.93
,,,,,,,1B/OF,Shohei Ohtani (22282300),Shohei Ohtani,22282300,T1,BAL@LAA 04/23/2022 09:07PM ET,LAA,4.66
,,,,,,,2B,Jazz Chisholm Jr. (22282304),Jazz Chisholm Jr.,22282304,T2,MIA@ATL 04/23/2022 07:20PM ET,MIA,9.91
,,,,,,,SS,Trea Turner (22282303),Trea Turner,22282303,T2,LAD@SD 04/23/2022 08:40PM ET,LAD,8.77
,,,,,,,1B,Freddie Freeman (22282305),Freddie Freeman,22282305,T2,LAD@SD 04/23/2022 08:40PM ET,LAD,9.77
,,,,,,,OF,Mookie Betts (22282306),Mookie Betts,22282306,T2,LAD@SD 04/23/2022 08:40PM ET,LAD,9
,,,,,,,1B,Jared Walsh (22282307),Jared Walsh,22282307,T2,BAL@LAA 04/23/2022 09:07PM ET,LAA,6.42
,,,,,,,2B,Ketel Marte (22282308),Ketel Marte,22282308,T3,NYM@ARI 04/23/2022 08:10PM ET,ARI,5.07
,,,,,,,1B,Pete Alonso (22282309),Pete Alonso,22282309,T3,NYM@ARI 04/23/2022 08:10PM ET,NYM,9.14
,,,,,,,C,Salvador Perez (22282311),Salvador Perez,22282311,T3,KC@SEA 04/23/2022 09:10PM ET,KC,8.08
,,,,,,,2B/3B,Max Muncy (22282310),Max Muncy,22282310,T3,LAD@SD 04/23/2022 08:40PM ET,LAD,6.69
,,,,,,,C,Max Stassi (22282312),Max Stassi,22282312,T3,BAL@LAA 04/23/2022 09:07PM ET,LAA,7.44
,,,,,,,3B,Anthony Rendon (22282313),Anthony Rendon,22282313,T3,BAL@LAA 04/23/2022 09:07PM ET,LAA,7.64
,,,,,,,3B,Eduardo Escobar (22282315),Eduardo Escobar,22282315,T4,NYM@ARI 04/23/2022 08:10PM ET,NYM,7.85
,,,,,,,2B/OF,Jeff McNeil (22282319),Jeff McNeil,22282319,T4,NYM@ARI 04/23/2022 08:10PM ET,NYM,7.54
,,,,,,,2B,Ozzie Albies (22282314),Ozzie Albies,22282314,T4,MIA@ATL 04/23/2022 07:20PM ET,ATL,9.07
,,,,,,,2B,Adam Frazier (22282316),Adam Frazier,22282316,T4,KC@SEA 04/23/2022 09:10PM ET,SEA,7.5
,,,,,,,OF,Jesse Winker (22282317),Jesse Winker,22282317,T4,KC@SEA 04/23/2022 09:10PM ET,SEA,4.29
,,,,,,,1B,Ty France (22282318),Ty France,22282318,T4,KC@SEA 04/23/2022 09:10PM ET,SEA,9.36
,,,,,,,2B,Jake Cronenworth (22282320),Jake Cronenworth,22282320,T4,LAD@SD 04/23/2022 08:40PM ET,SD,5
,,,,,,,OF,Brandon Nimmo (22282327),Brandon Nimmo,22282327,T5,NYM@ARI 04/23/2022 08:10PM ET,NYM,9.8
,,,,,,,1B,Matt Olson (22282321),Matt Olson,22282321,T5,MIA@ATL 04/23/2022 07:20PM ET,ATL,9.53
,,,,,,,SS,J.P. Crawford (22282323),J.P. Crawford,22282323,T5,KC@SEA 04/23/2022 09:10PM ET,SEA,8.14
,,,,,,,OF,Whit Merrifield (22282324),Whit Merrifield,22282324,T5,KC@SEA 04/23/2022 09:10PM ET,KC,3.75
,,,,,,,C,Will Smith (22282322),Will Smith,22282322,T5,LAD@SD 04/23/2022 08:40PM ET,LAD,7
,,,,,,,C,Austin Nola (22282325),Austin Nola,22282325,T5,LAD@SD 04/23/2022 08:40PM ET,SD,6.92
,,,,,,,OF,Chris Taylor (22282326),Chris Taylor,22282326,T5,LAD@SD 04/23/2022 08:40PM ET,LAD,8.27
,,,,,,,OF,Cedric Mullins (22282328),Cedric Mullins,22282328,T5,BAL@LAA 04/23/2022 09:07PM ET,BAL,6.54
,,,,,,,OF,Jorge Soler (22282329),Jorge Soler,22282329,T6,MIA@ATL 04/23/2022 07:20PM ET,MIA,4.77
