T1,T2,T3,T4,T5,T6,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,OF,Juan Soto (22282261),Juan Soto,22282261,T1,SF@WAS 04/23/2022 01:05PM ET,WAS,8.38
,,,,,,,3B,Jose Ramirez (22282262),Jose Ramirez,22282262,T1,CLE@NYY 04/23/2022 01:05PM ET,CLE,12.85
,,,,,,,OF,Aaron Judge (22282263),Aaron Judge,22282263,T1,CLE@NYY 04/23/2022 01:05PM ET,NYY,8.14
,,,,,,,1B,Anthony Rizzo (22282264),Anthony Rizzo,22282264,T1,CLE@NYY 04/23/2022 01:05PM ET,NYY,9.5
,,,,,,,OF,Seiya Suzuki (22282265),Seiya Suzuki,22282265,T2,PIT@CHC 04/23/2022 02:20PM ET,CHC,10.69
,,,,,,,3B,Ke'Bryan Hayes (22282269),Ke'Bryan Hayes,22282269,T2,PIT@CHC 04/23/2022 02:20PM ET,PIT,6.86
,,,,,,,1B,Brandon Belt (22282266),Brandon Belt,22282266,T2,SF@WAS 04/23/2022 01:05PM ET,SF,10.27
,,,,,,,OF,Giancarlo Stanton (22282268),Giancarlo Stanton,22282268,T2,CLE@NYY 04/23/2022 01:05PM ET,NYY,5.43
,,,,,,,1B,C.J. Cron (22282267),C.J. Cron,22282267,T2,COL@DET 04/23/2022 01:10PM ET,COL,13.25
,,,,,,,SS,Brandon Crawford (22282271),Brandon Crawford,22282271,T3,SF@WAS 04/23/2022 01:05PM ET,SF,6.75
,,,,,,,3B,Josh Donaldson (22282272),Josh Donaldson,22282272,T3,CLE@NYY 04/23/2022 01:05PM ET,NYY,5
,,,,,,,2B/3B,DJ LeMahieu (22282273),DJ LeMahieu,22282273,T3,CLE@NYY 04/23/2022 01:05PM ET,NYY,6.15
,,,,,,,OF,Myles Straw (22282275),Myles Straw,22282275,T3,CLE@NYY 04/23/2022 01:05PM ET,CLE,9.54
,,,,,,,OF,Connor Joe (22282270),Connor Joe,22282270,T3,COL@DET 04/23/2022 01:10PM ET,COL,10.46
,,,,,,,OF,Kris Bryant (22282274),Kris Bryant,22282274,T3,COL@DET 04/23/2022 01:10PM ET,COL,8.27
,,,,,,,C,Willson Contreras (22282279),Willson Contreras,22282279,T4,PIT@CHC 04/23/2022 02:20PM ET,CHC,7.54
,,,,,,,OF,Bryan Reynolds (22282280),Bryan Reynolds,22282280,T4,PIT@CHC 04/23/2022 02:20PM ET,PIT,5.54
,,,,,,,2B/3B,Jonathan Villar (22282282),Jonathan Villar,22282282,T4,PIT@CHC 04/23/2022 02:20PM ET,CHC,6.78
,,,,,,,1B,Josh Bell (22282278),Josh Bell,22282278,T4,SF@WAS 04/23/2022 01:05PM ET,WAS,8.69
,,,,,,,OF,Nelson Cruz (22282281),Nelson Cruz,22282281,T4,SF@WAS 04/23/2022 01:05PM ET,WAS,6.2
,,,,,,,SS,Amed Rosario (22282276),Amed Rosario,22282276,T4,CLE@NYY 04/23/2022 01:05PM ET,CLE,6
,,,,,,,OF,Steven Kwan (22282277),Steven Kwan,22282277,T4,CLE@NYY 04/23/2022 01:05PM ET,CLE,9.67
,,,,,,,3B,Patrick Wisdom (22282286),Patrick Wisdom,22282286,T5,PIT@CHC 04/23/2022 02:20PM ET,CHC,7.38
,,,,,,,1B,Daniel Vogelbach (22282289),Daniel Vogelbach,22282289,T5,PIT@CHC 04/23/2022 02:20PM ET,PIT,8.33
,,,,,,,SS,Kevin Newman (22282290),Kevin Newman,22282290,T5,PIT@CHC 04/23/2022 02:20PM ET,PIT,5.64
,,,,,,,2B,Thairo Estrada (22282285),Thairo Estrada,22282285,T5,SF@WAS 04/23/2022 01:05PM ET,SF,8.69
,,,,,,,C,Keibert Ruiz (22282287),Keibert Ruiz,22282287,T5,SF@WAS 04/23/2022 01:05PM ET,WAS,4.5
,,,,,,,OF,Mike Yastrzemski (22282288),Mike Yastrzemski,22282288,T5,SF@WAS 04/23/2022 01:05PM ET,SF,5.5
,,,,,,,OF,Franmil Reyes (22282283),Franmil Reyes,22282283,T5,CLE@NYY 04/23/2022 01:05PM ET,CLE,5.5
,,,,,,,3B,Ryan McMahon (22282284),Ryan McMahon,22282284,T5,COL@DET 04/23/2022 01:10PM ET,COL,7.46
,,,,,,,SS,Alcides Escobar (22282295),Alcides Escobar,22282295,T6,SF@WAS 04/23/2022 01:05PM ET,WAS,4
,,,,,,,2B,Gleyber Torres (22282291),Gleyber Torres,22282291,T6,CLE@NYY 04/23/2022 01:05PM ET,NYY,3.38
,,,,,,,OF,Aaron Hicks (22282294),Aaron Hicks,22282294,T6,CLE@NYY 04/23/2022 01:05PM ET,NYY,5.38
,,,,,,,OF,Charlie Blackmon (22282292),Charlie Blackmon,22282292,T6,COL@DET 04/23/2022 01:10PM ET,COL,6.18
,,,,,,,OF,Austin Meadows (22282293),Austin Meadows,22282293,T6,COL@DET 04/23/2022 01:10PM ET,DET,7.2
,,,,,,,3B,Jeimer Candelario (22282296),Jeimer Candelario,22282296,T6,COL@DET 04/23/2022 01:10PM ET,DET,4.08
,,,,,,,2B,Jonathan Schoop (22282297),Jonathan Schoop,22282297,T6,COL@DET 04/23/2022 01:10PM ET,DET,3.83
,,,,,,,C,Elias Diaz (22282298),Elias Diaz,22282298,T6,COL@DET 04/23/2022 01:10PM ET,COL,5.82
