T1,T2,T3,T4,T5,T6,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,OF,Seiya Suzuki (22330604),Seiya Suzuki,22330604,T1,CHC@ATL 04/26/2022 07:20PM ET,CHC,11.2
,,,,,,,1B,Vladimir Guerrero Jr. (22330605),Vladimir Guerrero Jr.,22330605,T1,BOS@TOR 04/26/2022 07:07PM ET,TOR,9.41
,,,,,,,3B,Nolan Arenado (22330603),Nolan Arenado,22330603,T1,NYM@STL 04/26/2022 07:45PM ET,STL,11
,,,,,,,OF,Byron Buxton (22330602),Byron Buxton,22330602,T1,DET@MIN 04/26/2022 07:40PM ET,MIN,14.4
,,,,,,,OF,Juan Soto (22330608),Juan Soto,22330608,T2,MIA@WAS 04/26/2022 07:05PM ET,WAS,7.44
,,,,,,,OF,George Springer (22330607),George Springer,22330607,T2,BOS@TOR 04/26/2022 07:07PM ET,TOR,8.31
,,,,,,,OF,Starling Marte (22330606),Starling Marte,22330606,T2,NYM@STL 04/26/2022 07:45PM ET,NYM,9.73
,,,,,,,SS,Francisco Lindor (22330609),Francisco Lindor,22330609,T2,NYM@STL 04/26/2022 07:45PM ET,NYM,10.06
,,,,,,,1B,Anthony Rizzo (22330610),Anthony Rizzo,22330610,T2,BAL@NYY 04/26/2022 07:05PM ET,NYY,9.94
,,,,,,,SS,Tim Anderson (22330615),Tim Anderson,22330615,T3,KC@CWS 04/26/2022 07:10PM ET,CWS,9
,,,,,,,C,Willson Contreras (22330611),Willson Contreras,22330611,T3,CHC@ATL 04/26/2022 07:20PM ET,CHC,8.69
,,,,,,,SS,Corey Seager (22330612),Corey Seager,22330612,T3,HOU@TEX 04/26/2022 08:05PM ET,TEX,6.47
,,,,,,,OF,Yordan Alvarez (22330613),Yordan Alvarez,22330613,T3,HOU@TEX 04/26/2022 08:05PM ET,HOU,7.73
,,,,,,,1B,Pete Alonso (22330616),Pete Alonso,22330616,T3,NYM@STL 04/26/2022 07:45PM ET,NYM,8.06
,,,,,,,OF,Aaron Judge (22330614),Aaron Judge,22330614,T3,BAL@NYY 04/26/2022 07:05PM ET,NYY,7.69
,,,,,,,C,Salvador Perez (22330621),Salvador Perez,22330621,T4,KC@CWS 04/26/2022 07:10PM ET,KC,8.57
,,,,,,,2B,Ozzie Albies (22330618),Ozzie Albies,22330618,T4,CHC@ATL 04/26/2022 07:20PM ET,ATL,9.59
,,,,,,,2B,Jazz Chisholm Jr. (22330617),Jazz Chisholm Jr.,22330617,T4,MIA@WAS 04/26/2022 07:05PM ET,MIA,12.23
,,,,,,,SS,Bo Bichette (22330620),Bo Bichette,22330620,T4,BOS@TOR 04/26/2022 07:07PM ET,TOR,6.29
,,,,,,,OF,Tyler O'Neill (22330619),Tyler O'Neill,22330619,T4,NYM@STL 04/26/2022 07:45PM ET,STL,7.43
,,,,,,,1B,Paul Goldschmidt (22330622),Paul Goldschmidt,22330622,T4,NYM@STL 04/26/2022 07:45PM ET,STL,7
,,,,,,,OF,Brandon Nimmo (22330623),Brandon Nimmo,22330623,T4,NYM@STL 04/26/2022 07:45PM ET,NYM,8.92
,,,,,,,1B,Jose Abreu (22330630),Jose Abreu,22330630,T5,KC@CWS 04/26/2022 07:10PM ET,CWS,6.93
,,,,,,,SS,Xander Bogaerts (22330629),Xander Bogaerts,22330629,T5,BOS@TOR 04/26/2022 07:07PM ET,BOS,7.31
,,,,,,,SS,Jeremy Pena (22330628),Jeremy Pena,22330628,T5,HOU@TEX 04/26/2022 08:05PM ET,HOU,7.67
,,,,,,,3B,Alex Bregman (22330631),Alex Bregman,22330631,T5,HOU@TEX 04/26/2022 08:05PM ET,HOU,8
,,,,,,,3B,Eduardo Escobar (22330626),Eduardo Escobar,22330626,T5,NYM@STL 04/26/2022 07:45PM ET,NYM,7
,,,,,,,2B,Tommy Edman (22330627),Tommy Edman,22330627,T5,NYM@STL 04/26/2022 07:45PM ET,STL,8.13
,,,,,,,OF,Giancarlo Stanton (22330624),Giancarlo Stanton,22330624,T5,BAL@NYY 04/26/2022 07:05PM ET,NYY,5.07
,,,,,,,SS,Carlos Correa (22330625),Carlos Correa,22330625,T5,DET@MIN 04/26/2022 07:40PM ET,MIN,5.21
,,,,,,,1B,Matt Olson (22330635),Matt Olson,22330635,T6,CHC@ATL 04/26/2022 07:20PM ET,ATL,9.06
,,,,,,,3B,Rafael Devers (22330633),Rafael Devers,22330633,T6,BOS@TOR 04/26/2022 07:07PM ET,BOS,7.65
,,,,,,,2B,Trevor Story (22330634),Trevor Story,22330634,T6,BOS@TOR 04/26/2022 07:07PM ET,BOS,5.67
,,,,,,,2B,Marcus Semien (22330636),Marcus Semien,22330636,T6,HOU@TEX 04/26/2022 08:05PM ET,TEX,6.12
,,,,,,,C,Mitch Garver (22330637),Mitch Garver,22330637,T6,HOU@TEX 04/26/2022 08:05PM ET,TEX,4.33
,,,,,,,3B,Josh Donaldson (22330632),Josh Donaldson,22330632,T6,BAL@NYY 04/26/2022 07:05PM ET,NYY,5.75
,,,,,,,2B/3B,DJ LeMahieu (22330638),DJ LeMahieu,22330638,T6,BAL@NYY 04/26/2022 07:05PM ET,NYY,7.27
,,,,,,,SS,Javier Baez (22330639),Javier Baez,22330639,T6,DET@MIN 04/26/2022 07:40PM ET,DET,6.5
