T1,T2,T3,T4,T5,T6,,Instructions
,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,Position,Name + ID,Name,ID,Roster Position,Game Info,TeamAbbrev,AvgPointsPerGame
,,,,,,,3B,Manny Machado (22361266),Manny Machado,22361266,T1,SD@CIN 04/28/2022 12:35PM ET,SD,10.53
,,,,,,,OF,Bryce Harper (22361265),Bryce Harper,22361265,T1,COL@PHI 04/28/2022 01:05PM ET,PHI,9.95
,,,,,,,OF,Aaron Judge (22361267),Aaron Judge,22361267,T1,BAL@NYY 04/28/2022 01:05PM ET,NYY,8.33
,,,,,,,OF,Byron Buxton (22361264),Byron Buxton,22361264,T1,DET@MIN 04/28/2022 01:10PM ET,MIN,12
,,,,,,,SS,Wander Franco (22361268),Wander Franco,22361268,T2,SEA@TB 04/28/2022 01:10PM ET,TB,10.5
,,,,,,,1B,Ty France (22361270),Ty France,22361270,T2,SEA@TB 04/28/2022 01:10PM ET,SEA,11.39
,,,,,,,SS,Corey Seager (22361271),Corey Seager,22361271,T2,HOU@TEX 04/28/2022 02:05PM ET,TEX,5.88
,,,,,,,OF,Yordan Alvarez (22361272),Yordan Alvarez,22361272,T2,HOU@TEX 04/28/2022 02:05PM ET,HOU,8.38
,,,,,,,OF,Connor Joe (22361269),Connor Joe,22361269,T2,COL@PHI 04/28/2022 01:05PM ET,COL,9.41
,,,,,,,2B,Jazz Chisholm Jr. (22361275),Jazz Chisholm Jr.,22361275,T3,MIA@WAS 04/28/2022 01:05PM ET,MIA,11.33
,,,,,,,SS,J.P. Crawford (22361276),J.P. Crawford,22361276,T3,SEA@TB 04/28/2022 01:10PM ET,SEA,9.28
,,,,,,,2B,Brandon Lowe (22361278),Brandon Lowe,22361278,T3,SEA@TB 04/28/2022 01:10PM ET,TB,6.47
,,,,,,,OF,Nick Castellanos (22361274),Nick Castellanos,22361274,T3,COL@PHI 04/28/2022 01:05PM ET,PHI,8.58
,,,,,,,1B,C.J. Cron (22361277),C.J. Cron,22361277,T3,COL@PHI 04/28/2022 01:05PM ET,COL,10.33
,,,,,,,1B,Anthony Rizzo (22361273),Anthony Rizzo,22361273,T3,BAL@NYY 04/28/2022 01:05PM ET,NYY,11.89
,,,,,,,C,Salvador Perez (22361282),Salvador Perez,22361282,T4,KC@CWS 04/28/2022 02:10PM ET,KC,7.75
,,,,,,,SS,Tim Anderson (22361283),Tim Anderson,22361283,T4,KC@CWS 04/28/2022 02:10PM ET,CWS,8.57
,,,,,,,OF,Juan Soto (22361279),Juan Soto,22361279,T4,MIA@WAS 04/28/2022 01:05PM ET,WAS,7.75
,,,,,,,2B,Adam Frazier (22361280),Adam Frazier,22361280,T4,SEA@TB 04/28/2022 01:10PM ET,SEA,7.44
,,,,,,,3B,Eugenio Suarez (22361285),Eugenio Suarez,22361285,T4,SEA@TB 04/28/2022 01:10PM ET,SEA,8.41
,,,,,,,3B,Alex Bregman (22361281),Alex Bregman,22361281,T4,HOU@TEX 04/28/2022 02:05PM ET,HOU,7.83
,,,,,,,2B,Jean Segura (22361284),Jean Segura,22361284,T4,COL@PHI 04/28/2022 01:05PM ET,PHI,6.93
,,,,,,,1B,Jose Abreu (22361293),Jose Abreu,22361293,T5,KC@CWS 04/28/2022 02:10PM ET,CWS,6.25
,,,,,,,SS,Jeremy Pena (22361292),Jeremy Pena,22361292,T5,HOU@TEX 04/28/2022 02:05PM ET,HOU,7.35
,,,,,,,OF,Kyle Schwarber (22361288),Kyle Schwarber,22361288,T5,COL@PHI 04/28/2022 01:05PM ET,PHI,7.17
,,,,,,,C,J.T. Realmuto (22361289),J.T. Realmuto,22361289,T5,COL@PHI 04/28/2022 01:05PM ET,PHI,7.24
