PLAYER,POS,TEAM,GAME,FP,FD EXP,DK EXP,INN,K,HA,ER,BBI,RBI,R,H,DK,FD,OWNERSHIP
Jose Ramirez,3B,CLE,CLE@LAA,4.76,16.6,12.25,,,,,,1.06,0.76,1.22,12.25,16.6,100
Freddie Freeman,1B,LAD,LAD@ARI,4.23,14.18,10.67,,,,,,0.7,0.89,1.34,10.67,14.18,100
Trea Turner,SS,LAD,LAD@ARI,4.2,15.24,11.67,,,,,,0.75,0.85,1.45,11.67,15.24,100
Mookie Betts,RF,LAD,LAD@ARI,4.08,14.24,10.74,,,,,,0.6,0.9,1.22,10.74,14.24,100
Vladimir Guerrero Jr.,1B,TOR,BOS@TOR,3.91,13.65,10.22,,,,,,0.78,0.73,1.21,10.22,13.65,100
C.J. Cron,1B,COL,COL@PHI,3.78,13.26,9.93,,,,,,0.82,0.61,1.12,9.93,13.26,98
Max Muncy,1B,LAD,LAD@ARI,3.77,13.01,9.55,,,,,,0.76,0.73,0.98,9.55,13.01,100
Francisco Lindor,SS,NYM,NYM@STL,3.71,13.07,9.65,,,,,,0.64,0.72,1.04,9.65,13.07,100
Rhys Hoskins,1B,PHI,COL@PHI,3.65,12.67,9.49,,,,,,0.63,0.7,1.08,9.49,12.67,99
Yordan Alvarez,OF,HOU,HOU@TEX,3.54,12.57,9.43,,,,,,0.75,0.64,1.06,9.43,12.57,100
Nolan Arenado,3B,STL,NYM@STL,3.53,12.08,9.07,,,,,,0.77,0.59,1.07,9.07,12.08,100
Rafael Devers,3B,BOS,BOS@TOR,3.53,12.72,9.54,,,,,,0.73,0.62,1.1,9.54,12.72,100
Starling Marte,CF,NYM,NYM@STL,3.47,12.87,9.84,,,,,,0.56,0.73,1.17,9.84,12.87,100
Bryce Harper,RF,PHI,COL@PHI,3.44,12.77,9.47,,,,,,0.59,0.78,0.99,9.47,12.77,100
Connor Joe,1B,COL,COL@PHI,3.41,12.22,9.37,,,,,,0.59,0.58,1.21,9.37,12.22,92
Trevor Story,2B,BOS,BOS@TOR,3.4,12.92,9.87,,,,,,0.54,0.64,1.18,9.87,12.92,100
Nick Castellanos,RF,PHI,COL@PHI,3.38,12,9.06,,,,,,0.68,0.69,1.12,9.06,12,100
Franmil Reyes,OF,CLE,CLE@LAA,3.33,12.84,9.64,,,,,,0.88,0.55,1.11,9.64,12.84,95
Alex Bregman,3B,HOU,HOU@TEX,3.32,11.39,8.52,,,,,,0.68,0.57,1.03,8.52,11.39,100
Jean Segura,2B,PHI,COL@PHI,3.28,11.28,8.57,,,,,,0.54,0.63,1.13,8.57,11.28,90
Michael Brantley,OF,HOU,HOU@TEX,3.28,11,8.64,,,,,,0.48,0.6,1.43,8.64,11,87
